A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/5.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/5.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,1/10/2017 5:00,2017,1,10,5,11,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 6:00,2017,1,10,6,13,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 7:00,2017,1,10,7,12,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 8:00,2017,1,10,8,16,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 9:00,2017,1,10,9,23,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 10:00,2017,1,10,10,14,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 11:00,2017,1,10,11,17,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 12:00,2017,1,10,12,12,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 13:00,2017,1,10,13,16,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 14:00,2017,1,10,14,3,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 15:00,2017,1,10,15,22,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 16:00,2017,1,10,16,19,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 17:00,2017,1,10,17,28,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 18:00,2017,1,10,18,28,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 19:00,2017,1,10,19,42,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 20:00,2017,1,10,20,53,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 21:00,2017,1,10,21,57,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 22:00,2017,1,10,22,70,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 23:00,2017,1,10,23,78,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 0:00,2017,1,11,0,81,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 1:00,2017,1,11,1,87,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 2:00,2017,1,11,2,26,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 3:00,2017,1,11,3,20,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 4:00,2017,1,11,4,23,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 5:00,2017,1,11,5,19,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 6:00,2017,1,11,6,12,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 7:00,2017,1,11,7,143,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 8:00,2017,1,11,8,116,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 9:00,2017,1,11,9,104,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 10:00,2017,1,11,10,100,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 11:00,2017,1,11,11,66,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 12:00,2017,1,11,12,33,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 13:00,2017,1,11,13,43,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 14:00,2017,1,11,14,37,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 15:00,2017,1,11,15,43,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 16:00,2017,1,11,16,40,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 17:00,2017,1,11,17,48,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 18:00,2017,1,11,18,51,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 19:00,2017,1,11,19,64,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 20:00,2017,1,11,20,82,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 21:00,2017,1,11,21,77,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 22:00,2017,1,11,22,104,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 23:00,2017,1,11,23,114,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 0:00,2017,1,12,0,102,µg/m³,1 Hr,Valid
